,Dan,Eddy,Martin,Padam,mean,range
Part 1,24.64,24.75,24.58,24.53,24.625,0.22
Part 2,24.65,24.71,24.67,24.63,24.665,0.08
Part 3,24.17,24.18,24.2,24.18,24.1825,0.03
Part 4,24.57,24.8,24.64,24.63,24.66,0.23
Part 5,23.19,23.23,23.1,23.14,23.165,0.13
Part 6,24.93,25.07,24.98,25.01,24.9975,0.14
Part 7,24.18,24.24,24.27,24.28,24.2425,0.1
Part 8,23.73,23.85,23.86,23.73,23.7925,0.13
Part 9,23.21,23.26,23.18,23.23,23.22,0.08
Part 10,23.2,23.32,23.15,23.19,23.215,0.17
Part 11,24.19,24.29,24.2,24.25,24.2325,0.1
Part 12,23.5,23.81,23.8,23.86,23.7425,0.36
Part 13,24.18,24.31,24.22,24.19,24.225,0.13
Part 14,25.08,25.26,25.11,25.08,25.1325,0.18
Part 15,23.82,23.99,23.87,23.81,23.8725,0.18
Part 16,23.77,23.87,23.78,23.73,23.7875,0.14
